"date","max.temp","min.temp","dwpt","month","year","day","dow","weekend","holiday","CO","O3","SO2","PM10","PM25","NO2","number.deaths","HI.max"
"1999-05-23",69.8590319741262,48.7628585061692,52.6744131138929,5,1999,23,0,1,0,0.84859382821689,0.0327562720495197,11.0706858157941,15,5.05074157289423,21.7022653518075,15,62
"1999-05-24",64.662466349402,54.1277451142603,58.2371845365539,5,1999,24,1,0,0,1.12311658729876,0.0393683935595977,6.37092878347264,20.725473270174,11.4382411894461,25.5314472853769,25,66
"1999-05-25",66.2561042213373,52.5458228866865,52.2581182664016,5,1999,25,2,0,0,0.713257354395388,0.0442285457137141,5.32773091404579,29,12.0465073698947,26.9199314335877,18,65
"1999-05-26",69.9249761341378,47.4914250240413,47.8585787893079,5,1999,26,3,0,0,0.840858235256538,0.0395672053229502,7.45546791294693,35,10.3642184481517,32.0111537071725,27,68
"1999-05-27",70.7961497128584,49.741189995087,45.7630457248993,5,1999,27,4,0,0,0.969880962819661,0.0370260142004779,6.78540858482129,38,4.99297687166186,28.3473365958204,20,69
"1999-05-28",72.3798603623356,52.2563736053768,43.8944953892197,5,1999,28,5,0,0,1.09528643812613,0.0452806575339306,11.5947990631045,40,5.88114435408908,31.0171737694621,14,72
"1999-05-29",84.0609984237244,50.4653963072889,53.319102914826,5,1999,29,6,1,0,1.35434818554395,0.0810777832396026,13.3652270656961,36,15.4201760544752,48.8807165666674,17,84
"1999-05-30",84.3091890134785,53.0661202462936,57.2836611117235,5,1999,30,0,1,0,1.55522180707014,0.0787198000158843,12.5286292346149,29.367353965941,18.9591876311869,35.947386749518,30,83
"1999-05-31",85.6880481952418,56.2257490932093,56.9248797196568,5,1999,31,1,0,1,1.16037160803033,0.08407882113236,10.5668802225897,34,19.6780634007723,35.7262017086281,26,84
"1999-06-01",77.7911518121434,54.9395347187866,58.9467068366228,6,1999,1,2,0,0,1.00892935835602,0.0783979117441181,10.9786460090484,44,27.1296038774307,22.47192699735,30,76
"1999-06-02",84.0526810427333,61.6578259058927,61.6902310563871,6,1999,2,3,0,0,0.922206836445617,0.0716242010412712,9.9864796812708,44,25.304860473067,30.4204158481108,21,85
"1999-06-03",83.9599424719474,62.3381709311884,62.1600912613061,6,1999,3,4,0,0,0.720420188662836,0.0621846996010562,20.9412160195012,45,13.8515066565365,22.9639720253478,19,85
"1999-06-04",76.5241451856843,58.6306819657527,50.8474559356704,6,1999,4,5,0,0,1.0680380735747,0.04814943834443,13.3254209439989,33,5.52605465957555,22.1846874452133,21,76
"1999-06-05",75.953836622521,50.003288171741,48.8799873159649,6,1999,5,6,1,0,0.769368176050817,0.0492901940811073,7.81695738763217,23.3859175230425,7.048627881824,21.6240692236415,23,75
"1999-06-06",75.7420511815043,50.5444263928751,53.8927086149831,6,1999,6,0,1,0,0.6336934576361,0.0445603891666943,6.07313458639225,15,6.22484933434635,18.9126779875231,14,75
"1999-06-07",94.4778020509887,62.1593558432201,63.0002281532653,6,1999,7,1,0,0,0.875120544251415,0.0939352716843889,7.46327424214894,51,26.5018079878438,25.197888969005,21,97
"1999-06-08",92.7582596279972,65.0921895777111,64.6225741078258,6,1999,8,2,0,0,0.644036584336462,0.0772292019813977,6.50130716577128,57,22.5970069356339,21.7435764251156,34,93
"1999-06-09",82.2522589622398,57.9986798267907,55.9695716287777,6,1999,9,3,0,0,0.95845500604149,0.0380661480442929,7.07646151285616,33,10.3781639787266,17.9598870224809,28,84
"1999-06-10",73.0318184983696,53.6888190950946,48.916611082327,6,1999,10,4,0,0,0.723023601029997,0.0415187646410677,7.48236756023301,28,7.89024211178627,16.0673165201237,21,70
"1999-06-11",75.1678025404939,48.4617211842529,51.768159404065,6,1999,11,5,0,0,0.931034642287388,0.0436397437712453,11.7297582234127,23.8928098821573,8.17326964906398,26.939703218789,27,75
"1999-06-12",78.7923475061791,50.883342753728,57.8772211812276,6,1999,12,6,1,0,1.02960581198588,0.0404438986239847,12.6662573842883,24,8.94549038746569,17.7385982060829,24,80
"1999-06-13",79.3042310591692,57.5634009579788,65.7803761393917,6,1999,13,0,1,0,1.06261903763496,0.0257918307551943,13.4041437092594,16,10.1013956467443,11.5058509611369,29,78
"1999-06-14",77.5890826271057,65.0667913059386,65.3371845365539,6,1999,14,1,0,0,0.871863425706962,0.0362394934464997,11.2841492627697,21,8.19338896781085,12.8880405084121,23,79
"1999-06-15",80.2783130988459,63.8634623073124,58.7751622129405,6,1999,15,2,0,0,0.823321525103626,0.0507469975156935,4.00498896357757,21.6254525616931,9.74537371341472,12.292407794067,24,80
"1999-06-16",75.464037337289,54.8381990328171,47.478158609131,6,1999,16,3,0,0,0.873314226352968,0.0437602187700104,6.28745961374748,19,5.88024853389139,15.6563123196186,23,74
"1999-06-17",70.0257043507542,55.2514268426256,51.3381638970547,6,1999,17,4,0,0,1.13936210737326,0.0263988761642825,6.6521434664562,13.2265521024127,6.20983893859752,19.0900568206161,18,61
"1999-06-18",71.5691231992873,53.4219199542133,50.5326756683652,6,1999,18,5,0,0,1.15287936893211,0.0417685654735395,6.5535180189109,35,10.1860143317804,24.7480238772122,24,71
"1999-06-19",78.1522803928796,48.9672212526821,50.6015422388804,6,1999,19,6,1,0,0.942879064880372,0.0512755726489856,10.7611417079971,24,11.0481941819102,20.3041855555407,30,78
"1999-06-20",77.240525966925,49.6000608715989,52.5430913555523,6,1999,20,0,1,0,0.68834889325327,0.0453398064335853,6.77762257943992,15,11.0909555136707,17.0207897867287,21,71
"1999-06-21",73.4374693247925,53.9595796811645,52.9398504240057,6,1999,21,1,0,0,1.01006736545229,0.0387488874306622,9.23989956948795,22,16.7104954152257,24.0890281474092,36,73
"1999-06-22",81.6284118217201,51.2785962563545,54.7577437168778,6,1999,22,2,0,0,1.18671806194355,0.0625847228896005,17.8755763974725,30,15.3,29.5785031389675,26,82
"1999-06-23",88.4115255679257,59.5895123079232,58.3971336179772,6,1999,23,3,0,0,1.3454780997384,0.0810184102212686,19.3728019264584,36.5217195213405,17.680033242251,31.4682296598423,25,89
"1999-06-24",87.8553070391684,59.0163632597613,59.6713164704169,6,1999,24,4,0,0,0.878206221077065,0.086722173344534,17.3226840618552,38,23.7,35.1481252263466,15,88
"1999-06-25",86.0728710224751,59.4925571035602,57.5450500765539,6,1999,25,5,0,0,0.542940791110656,0.0430398181594297,7.96520988535436,26,10.5050569614992,17.1903058882781,28,82
"1999-06-26",90.1710693813695,65.6635229324604,61.6618637616397,6,1999,26,6,1,0,0.589934507962522,0.0792880773562151,6.08110901105146,36,15.9935009989776,19.1909898488013,23,91
"1999-06-27",91.9596491971564,64.4002127099143,63.727647962582,6,1999,27,0,1,0,0.584704327094733,0.0714756368128295,9.42787374156192,32,19.9072431241792,18.1253987136387,25,93
"1999-06-28",89.8554874128982,67.2023658569646,69.6822069544134,6,1999,28,1,0,0,0.454119053725319,0.0380301646600338,5.41922821031012,43,17.5099527381219,12.1241165930585,21,90
"1999-06-29",86.8406149983498,70.5097942504574,69.7683620068238,6,1999,29,2,0,0,0.655459984742516,0.0447512052801241,6.10317321975583,40.4365608187239,25.699840970691,16.5630107916507,22,87
"1999-06-30",79.4003085429607,65.9072461361378,62.1075052643792,6,1999,30,3,0,0,0.796158420728881,0.0358835124680425,15.4168714757909,21,8.84883713318771,19.6474276254167,21,80
"1999-07-01",78.5222730953304,64.0482134653126,67.1419677069809,7,1999,1,4,0,0,1.08477951234483,0.0220128830035911,5.69950602929795,34,10.7272599848047,18.829434893016,22,80
"1999-07-02",81.1254587030138,67.0585502381202,69.0393458603142,7,1999,2,5,0,0,0.963052675827728,0.0241801598059477,3.654108669944,52,16.5660125374303,16.683824081424,18,83
"1999-07-03",88.5832402244193,65.6147819986573,65.3676569485613,7,1999,3,6,1,0,0.798666467084351,0.0673753302371602,8.18965526981978,42,17.5242466717318,18.4252706292428,28,91
"1999-07-04",88.3926710484461,68.5060067976538,70.800186220668,7,1999,4,0,1,0,1.00810715985542,0.0428759989606517,9.2517941881948,59,28.0033327134004,17.7730402589687,26,91
"1999-07-05",96.9437123625023,74.5583747176689,73.3675105523028,7,1999,5,1,0,1,0.936513408164291,0.0462808010352227,3.55709288330985,35.3533853266693,20.3851459283415,14.7960820379847,21,100
"1999-07-06",95.1001132513874,74.7628549435332,73.3168556176831,7,1999,6,2,0,0,0.940040682313512,0.086771725094949,5.98831161158423,46,23.8785035369604,17.2914921523712,28,98
"1999-07-07",87.0131737426705,70.1527607906706,62.1210780179184,7,1999,7,3,0,0,0.74864804756052,0.0493608264166547,3.35764534170115,32,8.46858859929633,24.1303237693953,39,90
"1999-07-08",82.4631090473428,61.4236807885986,54.8947860735488,7,1999,8,4,0,0,1.03403371975193,0.0406963128421341,4.22791062417815,26.6245912473332,6.73569959304124,29.3559790054884,27,82
"1999-07-09",75.9874962504583,59.7473012656849,53.0897122187926,7,1999,9,5,0,0,0.988664042276261,0.0534476888216878,9.68476027430047,33,7.5138491165791,31.723505873717,29,75
"1999-07-10",82.822042304944,67.8377389960004,65.9853476386746,7,1999,10,6,1,0,1.03784655158376,0.0533070306807139,4.1052169886198,26,16.8212812711683,16.4630198617475,25,85
"1999-07-11",79.6938493290912,56.3791386656157,51.0876972912908,7,1999,11,0,1,0,0.869845065835699,0.0322211617805642,4.21062284326056,8.96284206651886,4.53322074631845,20.6252823939743,21,78
"1999-07-12",80.2238145347576,53.0853895410665,50.7138449475896,7,1999,12,1,0,0,1.12422163781058,0.0370934011462393,12.0422421754594,26,7.06668415958981,31.2908072939325,26,80
"1999-07-13",77.4803064138643,55.5846354578341,58.0856362148159,7,1999,13,2,0,0,1.14347447405048,0.0225287656760802,6.42407165173421,21,7.49516771516432,21.3766182096661,24,70
"1999-07-14",76.7541841434089,50.5273705528522,56.0319265693175,7,1999,14,3,0,0,1.14930723798074,0.0444009030784379,9.12362892931293,27,8.98959251847318,22.0312723948322,29,76
"1999-07-15",83.0122069460514,53.5707312484027,58.834504375199,7,1999,15,4,0,0,1.55209975844296,0.0802062582287125,22.4878868294117,40,15.4604485482464,32.1303586546854,24,83
"1999-07-16",93.1665244355897,64.0375618363325,63.2398063832205,7,1999,16,5,0,0,0.797122590763689,0.10245433685878,8.79037453981778,54,34.3278626474193,35.7166654722231,31,96
"1999-07-17",94.8615011415869,70.3245708937399,66.3914989930292,7,1999,17,6,1,0,0.624844995263137,0.0928277012146724,9.02121793275077,55.4967115740916,39.4615756188559,22.5003851908646,31,98
"1999-07-18",95.2680941212055,71.2023077426547,66.9797570545118,7,1999,18,0,1,0,0.600787116327452,0.0836056203559333,6.9895353172185,31.4868154804562,40.3515066565365,18.8399762721366,23,98
"1999-07-19",90.5190338457885,69.6951732677206,68.8581182664016,7,1999,19,1,0,0,0.903274880498432,0.0548479867109624,9.6280673652171,27.3729658259688,31.1277308601078,40.313827342732,26,91
"1999-07-20",81.3240430194333,62.8216971071082,61.8209337298477,7,1999,20,2,0,0,0.746809539786694,0.0453017186798528,9.89964584453437,24,10.0450562162618,20.9763165802049,23,81
"1999-07-21",82.3825710665666,58.1875456215471,53.7791379696318,7,1999,21,3,0,0,0.582849847442844,0.050368485227301,21.8991769876115,23,8.7138148782107,19.7807535023812,27,83
"1999-07-22",83.5829861254342,63.2013697035379,66.7989623248111,7,1999,22,4,0,0,0.468051905531664,0.0364788355832087,6.40235975686349,20,9.37296303290034,13.9593141759909,19,85
"1999-07-23",86.933551788578,65.0818831918532,67.2110788128523,7,1999,23,5,0,0,0.994410939852943,0.0584140091778497,10.8173343788121,33.6648759604839,18.5614449828277,20.2397114899538,20,87
"1999-07-24",87.9346473005572,69.0016436017987,71.3012679366421,7,1999,24,6,1,0,1.02251247153237,0.0626942567307032,8.19703924243668,56,34.1248493343464,17.718757678585,31,89
"1999-07-25",89.1197124274309,70.0597977788044,71.285866476269,7,1999,25,0,1,0,1.03004307859092,0.0639640156815739,7.6429782026924,36,31.2308759604923,22.431519577633,26,88
"1999-07-26",83.3166374315949,68.3456096968546,68.2413045813158,7,1999,26,1,0,0,1.17176181892791,0.0576146827540461,8.3687977033534,45,33.4520879050613,24.3224410673711,23,82
"1999-07-27",88.7513088324693,67.6766424687179,67.1227624366816,7,1999,27,2,0,0,1.05729360985986,0.0603429772037159,6.52406523965465,42,17.1901021339727,43.5634072569767,22,90
